Index1,Times,IMU_Task3,ax1,ay2,az3,gx4,gy5,gz6
2,1661076605,IMU,0.03,-0.08,1.02,-0.49,0.92,0.73
3,1661076605,IMU,0.04,-0.07,1.02,-0.61,1.22,0.98
4,1661076605,IMU,0.04,-0.07,1.02,-1.04,1.16,1.04
5,1661076605,IMU,0.04,-0.07,1.02,-0.55,1.1,1.16
6,1661076605,IMU,0.04,-0.08,1.02,-0.73,1.1,0.98
7,1661076605,IMU,0.04,-0.07,1.03,-0.73,0.98,0.98
8,1661076605,IMU,0.04,-0.07,1.02,-0.79,1.1,0.92
9,1661076605,IMU,0.04,-0.07,1.02,-0.67,1.1,1.04
10,1661076605,IMU,0.04,-0.07,1.02,-0.79,1.04,1.04
1,1661076615,IMU,0.04,-0.07,1.02,-0.73,0.85,0.98
2,1661076615,IMU,0.04,-0.08,1.02,-0.73,0.61,0.85
3,1661076615,IMU,0.04,-0.07,1.02,-0.67,0.73,0.85
4,1661076615,IMU,0.04,-0.07,1.02,-0.85,0.73,0.92
5,1661076615,IMU,0.03,-0.08,1.02,-0.55,0.92,0.79
6,1661076615,IMU,0.04,-0.08,1.02,-0.67,0.85,0.98
7,1661076615,IMU,0.03,-0.08,1.02,-0.61,0.85,1.04
8,1661076615,IMU,0.04,-0.07,1.02,-0.73,0.85,0.98
9,1661076615,IMU,0.04,-0.08,1.02,-0.73,0.73,0.98
10,1661076615,IMU,0.04,-0.07,1.02,-0.73,0.92,1.04
1,1661077162,IMU,0.04,-0.08,1.02,-0.61,0.79,0.79
2,1661077162,IMU,0.04,-0.08,1.02,-0.67,0.73,0.92
3,1661077162,IMU,0.04,-0.08,1.02,-0.67,0.73,0.98
4,1661077162,IMU,0.04,-0.08,1.02,-0.73,0.85,0.98
5,1661077162,IMU,0.04,-0.08,1.02,-0.55,0.92,0.98
6,1661077162,IMU,0.04,-0.08,1.02,-0.67,0.92,0.85
7,1661077162,IMU,0.04,-0.08,1.02,-0.55,0.85,0.92
8,1661077162,IMU,0.04,-0.08,1.02,-0.92,0.98,0.92
9,1661077162,IMU,0.04,-0.08,1.02,-0.43,0.98,1.1
10,1661077162,IMU,0.04,-0.08,1.02,-1.04,1.1,0.98
1,1661077674,IMU,3.0,0.79,0.98,,,
2,1661077674,IMU,0.04,-0.08,1.02,-0.67,0.85,0.98
3,1661077674,IMU,0.04,-0.08,1.02,-0.73,0.73,0.85
4,1661077674,IMU,0.04,-0.08,1.02,-0.79,0.98,0.79
5,1661077674,IMU,0.04,-0.08,1.02,-0.73,0.85,0.92
6,1661077674,IMU,0.04,-0.08,1.02,-0.73,0.61,0.85
7,1661077674,IMU,0.04,-0.08,1.02,-0.85,0.85,0.85
8,1661077674,IMU,0.04,-0.08,1.02,-0.85,0.79,0.92
9,1661077674,IMU,0.04,-0.08,1.02,-0.85,0.73,1.04
10,1661077674,IMU,0.04,-0.08,1.02,-0.79,0.79,0.92
